NKE,Nike Inc,30/08/2021 12:30,168.165
NKE,Nike Inc,30/08/2021 17:00,168.03
NKE,Nike Inc,31/08/2021 07:00,167.7
NKE,Nike Inc,31/08/2021 12:30,164.67
NKE,Nike Inc,31/08/2021 17:00,164.99
NKE,Nike Inc,01/09/2021 07:00,165.64
NKE,Nike Inc,01/09/2021 12:30,164.74
NKE,Nike Inc,01/09/2021 17:00,164.46
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
